FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
U.S. Department of Agriculture,38.0,Overcoming Vulnerability: Life Course Perspectives,7.0,University of South Carolina,23.0,Twee Steden hospital,2.0,Robert Crosnoe,11
National Institute of Mental Health of the National Institutes of Health,38.0,ASPCA,7.0,Dalhousie University,23.0,Maxima Medical Center,2.0,Taylor,11
Australian Research Council Discovery,37.0,World Bank,7.0,Tulane University,23.0,Preventx Limited,2.0,Ron Smith,11
US National Science Foundation,37.0,COSTPOST,7.0,Universite de Montreal,23.0,Alberta Transportation,2.0,Bea Cantillon,11
British Heart Foundation,37.0,COMPETE,7.0,College of Liberal Arts,22.0,Lunds universitet,2.0,Luis Bertola,11
Australian Research Council Linkage,37.0,"Survey of Health, Ageing and Retirement in Europe",6.0,University of California San Diego,22.0,"Contracting Resources Group, Inc.",2.0,Robert Margo,11
National Institute of Food and Agriculture,37.0,Recruitment and Radicalization among US Far-Right Terrorists,6.0,UC Irvine,22.0,Philadelphia Mural Arts Associates,2.0,Russell Davidson,11
Russian Science Foundation,37.0,"Structural Disadvantage, Social Capital, Individual Mentality and Adolescent Gambling in Hong Kong",6.0,Norwegian University of Science and Technology,22.0,Narodni referencni centrum,2.0,Jesse Rothstein,11
National Science Centre in Poland,37.0,New Zealand College of Anaesthetists Annual Scientific Meeting,6.0,Seoul National University,22.0,DG Research,2.0,Eduard Ponarin,11
Eunice Kennedy Shriver National Institute of Child Health and Human Development of the National Institutes of Health,36.0,ACCORD,6.0,University College Dublin,22.0,Tri Wangrangsimakul,2.0,Evan Roberts,11
National Science Foundation Graduate Research Fellowship Program,36.0,FREGAT,6.0,Johns Hopkins University Center for AIDS Research,22.0,ZiF,2.0,Ruben Jimenez,11
Australian Research Council Linkage Grant,36.0,Standard Research Grant,6.0,Faculty Research Grant,22.0,Walgreens Pharmacy,2.0,Karsten Hank,11
Netherlands Organization for Health Research and Development,36.0,SOMICS,6.0,University of East Anglia,22.0,xyt AG,2.0,Rob Alessie,11
Health Research Council of New Zealand,35.0,Economic History Society Annual Conference 2014,6.0,"Cornell University, Ithaca",21.0,Alere Inc,2.0,German Rodriguez,11
Maudsley NHS Foundation Trust,35.0,GPN@NUS),6.0,Temple University,21.0,"Management Services, Inc.",2.0,Derek Neal,11
Intramural Research Program,35.0,MIUR,6.0,University of Leeds,21.0,Illawarra Forum Inc,2.0,Nick Manning,11
NIAID,35.0,IGERT,6.0,University of Tokyo,21.0,"Bioceptive, Inc.",2.0,Heidi Williams,11
Department of Health and Social Care,35.0,NJDHS,6.0,European University Institute,21.0,"TransCen, Inc.",2.0,Zaifu Yang,11
National Institutes of Mental Health,35.0,Family Group Conferences,6.0,Uppsala University,21.0,Reckitt Benckiser,2.0,Jeremy Freese,11
Substance Abuse and Mental Health Services Administration,35.0,Provost Fund,6.0,University of Illinois,21.0,Pfizer Inc,2.0,Carolyn McLeod,11
US Department of Health and Human Services,35.0,Mayors Make Migration Policy,6.0,Leiden University,21.0,"Legal Science, LLC",2.0,Chris Hietikko,11
Greenwall Foundation,35.0,Brown Bag Seminar,6.0,Brigham Young University,21.0,Fundacao Cearense de Apoio ao Desenvolvimento Cientifico e Tecnologico (www.funcap.ce.gov.br),2.0,John Campbell,11
Polish National Science Centre,34.0,Children and Youth Services Review,6.0,Oxford Martin School,21.0,Fundacion Lafourcade-Ponce,2.0,Adam Slez,11
Slovenian Research Agency,34.0,American Society for Bioethics and Humanities,6.0,North Carolina State University,21.0,CNPq,2.0,Peter Hall,11
Royal Society of New Zealand,34.0,Human Ecology,6.0,Georgia State University,21.0,Microsoft Research,2.0,Scott Schieman,11
Fundacao para a Ciencia e Tecnologia,34.0,New Innovator Award Program,6.0,Keio University,20.0,Alpe d'HuZes,2.0,Christopher Wildeman,11
HIV Center for Clinical and Behavioral Studies,34.0,Future Health Systems Initiative,6.0,Max Planck Society,20.0,Beijing HSP Technology Company Limited,2.0,Fabrizio Zilibotti,11
Australian Research Council Discovery Project,34.0,GENACIS,6.0,Oslo,20.0,Kom Op Tegen Kanker,2.0,Arunava Sen,11
United States Agency for International Development (USAID),34.0,Midwest Political Science Association,6.0,University of Kent,20.0,LSE Research Investment Funds,2.0,Rosa Matzkin,11
Canadian Institutes for Health Research (CIHR),34.0,EFSA,6.0,Hitotsubashi University,20.0,Pozen Center,2.0,Alfonso Herranz-Loncan,11
National Institute of Environmental Health Sciences,33.0,Research Foundation-Flanders,6.0,Wilfrid Laurier University,20.0,Jeroen Bosch hospital,2.0,Knut,11
Swiss National Science Foundation (SNF),33.0,Multidisciplinary Program in Inequality and Social Policy,6.0,University of Miami,20.0,Rotary Intentional,2.0,James Stock,11
Alice Wallenberg Foundation,33.0,BAM,6.0,University of Bologna,20.0,"Alliance for Sustainable Energy, LLC",2.0,Kevin O'Rourke,11
Simons Foundation,33.0,OECD,6.0,Northeastern University,20.0,"Walter R. McDonald & Associates, Inc.",2.0,Albrecht Ritschl,11
World Health Organization,33.0,NSF,6.0,University of Florida,20.0,Insitu Pacific,2.0,Lisa Trierweiler,11
Australian Government Department of Health,33.0,SAS,6.0,Umea University,20.0,Aflatoun International,2.0,Paul DiMaggio,11
Russian Federation,33.0,NCCYS,6.0,Columbia,20.0,Bayer CropScience,2.0,Ronald Inglehart,11
European Community's Seventh Framework Programme,32.0,Eurosystem,6.0,Freie Universitat Berlin,20.0,Nan Shan Insurance Company,2.0,Gilles Duranton,11
Ministry of Science and Technology,32.0,IUSSP,6.0,NY State Psychiatric Institute,20.0,AIRC (Associazione Italiana per la Ricerca sul Cancro,2.0,Ylenio Longo,11
National Institute of Child Health and Human Development (NICHD),32.0,Title VIII Program,6.0,Nanyang Technological University,20.0,UTS Huaxin Xu,2.0,Jane Waldfogel,11
U.S. Department of Homeland Security,32.0,NISRA/NILS,6.0,Faculty of Social Sciences,20.0,Sanofi-Aventis Australia Pty Ltd,2.0,Lu,10
EU,32.0,Symposium on Artificial Intelligence and Apocalypticism,6.0,Institute for Social and Economic Research,20.0,NANA Corporation,2.0,Kay Cook,10
United States Agency for International Development,32.0,Life Patterns,6.0,Johns Hopkins Bloomberg School of Public Health,20.0,Kalmar County Hospital,2.0,Miguel Centeno,10
Generalitat Valenciana,32.0,HSK,6.0,Academia Sinica,19.0,Neubauer Family,2.0,Lan Zhang,10
CAPES,31.0,ICES,6.0,Queensland University of Technology,19.0,Kids Helpline,2.0,Mary Brinton,10
Research Grants Council of Hong Kong,31.0,Millennium Cohort Study,6.0,Georgetown,19.0,Abbott Australasia Pty Ltd,2.0,Aureo de Paula,10
HRSA,31.0,Econometric Society,6.0,University of Delaware,19.0,Ngati Pikiao,2.0,Peter Bank,10
German Federal Ministry of Education and Research (BMBF),31.0,COST Action IS1311 Intergenerational Family Solidarity,6.0,California State University,19.0,Bio Bio,2.0,Adam Gamoran,10
Strategic Research Council,31.0,IAVI,6.0,University of Western Australia,19.0,"Huaxi Futures Co., Ltd",2.0,Sante,10
Carolina Population Center,31.0,CIFAR,6.0,"University of California, San Diego",19.0,WelMi Network,2.0,S. Allison,10
Wellcome Trust Strategic Award,31.0,Investigator Award in Health Policy Research,6.0,Tufts University,19.0,Liberty Seguros,2.0,Pat Kline,10
Hong Kong Research Grants Council,31.0,project PIA ANILLO-SOC 1401,6.0,University Hospitals Bristol NHS Foundation Trust,19.0,"Weichai Power Co., Ltd",2.0,Kim,10
Australian National Health and Medical Research Council,31.0,AAH,6.0,Faculty of Arts,19.0,"Osterreichische Nationalbank, Vienna",2.0,Martin Schweizer,10
Annie E. Casey Foundation,30.0,SVS,6.0,Institute for New Economic Thinking,19.0,SHINE for Kids Cooperative Ltd,2.0,Gail E. Wyatt,10
National Health and Medical Research Council of Australia,30.0,A-CaRe Program,6.0,Aalborg University,18.0,Healthy Waterways Limited,2.0,Fuhito Kojima,10
Alexander von Humboldt Foundation,30.0,Child Support Research Agreement,6.0,University of Houston,18.0,Rutger Lit,2.0,Catherine E. Amiot,10
National Cancer Institute (NCI),30.0,Journal of Finance,6.0,Institut Universitaire de France,18.0,NSPCC,2.0,Iddo Tavory,10
Department for Education,30.0,Autism Inpatient Collection (AIC),6.0,Ontario Graduate Scholarship,18.0,Sells Group,2.0,Catherine Moury,10
Spanish Ministerio de Economia y Competitividad,30.0,Research Support and Research Assistance Faculty Grants,6.0,Center for Demography and Ecology,18.0,TNS NIPO,2.0,P. Brouwers,10
Swedish Council for Working Life and Social Research,30.0,EUMARR,6.0,University of Valencia,18.0,Bin Wang (,2.0,Seema Shah,10
Spanish Government,30.0,NSFG,6.0,Hankuk University of Foreign Studies Research Fund,18.0,El Pueblo Inc.,2.0,Rakesh Vohra,10
Croatian Science Foundation,30.0,NBER Summer Institute,6.0,Osaka University,18.0,GBP Consulting Ltd.,2.0,Herve Moulin,10
National Institute of General Medical Sciences,30.0,Ontario Graduate Scholarship Program,6.0,University of Montreal,18.0,Pfizer Ltd,2.0,Tae-Hwan Kim,10
National Institute of Aging,30.0,ARC,6.0,University of Basel,18.0,Wedell-Borg Wedellborgs Fund,2.0,Charles Ragin,10
Grant-in-Aid for Scientific Research,30.0,New York Camp Econometrics XII,6.0,George Mason University,18.0,Qing Lan Project,2.0,Maggie Penn,10
Templeton Foundation,30.0,Population Health Research Data Repository,6.0,Patient-Centered Outcomes Research Institute (PCORI),18.0,Fondazione Cariplo,2.0,Stefan Timmermans,10
MRC,30.0,Fondation Brocher,6.0,University of Antwerp,18.0,Katoomba Neighbourhood Centre Inc.,2.0,John Mohan,10
Ploughshares Fund,30.0,Annual Meeting of the American Sociological Association,6.0,University of the Witwatersrand,18.0,Viagra,2.0,Chen,10
UK Economic and Social Research Council (ESRC),30.0,Metro Vancouver Homelessness Partnering Strategy Community Entity,6.0,Sichuan University,18.0,Daniels Fund,2.0,Thomas Crossley,10
German Science Foundation,30.0,UPDB,6.0,London School of Economics and Political Science,18.0,Qikiqtarjuaq,2.0,Donggyu Kim,10
National Institute on Drug Abuse of the National Institutes of Health,30.0,"Global Production Networks, Global Value Chains and East Asian Development",6.0,University of Padova,18.0,"Alliance for Sustainable Energy, LLC (Alliance)",2.0,Cavaliere,10
Federal Reserve System,29.0,LIVES-Overcoming Vulnerability: Life Course Perspectives,6.0,University of Bergen,18.0,NIASRA,2.0,Ryo Okui,10
Irish Research Council,29.0,Commonwealth Fund,6.0,University of Western Ontario,18.0,NHTSA,2.0,Deborah Gustafson,10
7th Framework Programme,29.0,2015 Social Policy Association conference in Belfast,6.0,Carolina Population Center,18.0,Colcrys,2.0,Lisa Metsch,10
National Natural Science Foundation of China (NSFC),29.0,HMRC,6.0,University of Oregon,18.0,LekkerLangLeven,2.0,Michael Siegrist,10
Substance Abuse and Mental Health Services Administration (SAMHSA),29.0,RCUK Energy Programme,6.0,Case Western Reserve University,17.0,AXA Research Fund,2.0,Bettina Meiser,10
National Nature Science Foundation of China,29.0,NCANDS,6.0,Erasmus University Rotterdam,17.0,Magentakoncept,2.0,Joel Mokyr,10
National Institute of Alcohol Abuse and Alcoholism,29.0,INET,6.0,Cambridge University,17.0,Ipsos,2.0,Hans-Joachim Voth,10
Australian Research Council (ARC),29.0,PROSPER,6.0,University of Minho,17.0,Silvio Conte Center,2.0,Katherine Smith,10
Finnish Work Environment Fund,29.0,Queen's Printer for Scotland,6.0,University of South Florida,17.0,Disque-Denuncia,2.0,Amanda Gregg,10
Netherlands Organisation for Health Research and Development,29.0,ECB,6.0,Cornell,17.0,Entresto,2.0,Michele Lamont,10
European Union Seventh Framework Programme,29.0,Department of Health and Human Services,6.0,Charles University,17.0,Archivio Storico,2.0,Asger Lunde,10
National Institute of Minority Health and Health Disparities,29.0,BREATHER,6.0,Huntsman Cancer Institute,17.0,British Columbia Lottery Corporation,2.0,Cho,10
Welsh Government,29.0,General Social Survey,6.0,York University,17.0,KWG,2.0,Donald Andrews,10
Swiss National Science Foundation (SNSF),28.0,AU IDEAS Programme,6.0,Ecole Polytechnique,17.0,Peydro,2.0,Nick Bloom,10
Polish Ministry of Science and Higher Education,28.0,Identity and Emotional Management Control in Health Care Settings,6.0,Trinity College Dublin,17.0,FMCSA,2.0,Joshua Angrist,10
National Institute of Diabetes and Digestive and Kidney Diseases,28.0,Mito Team,6.0,National Cancer Institute,17.0,BAYER Healthcare Pharmaceuticals Inc.,2.0,Bart Bonikowski,10
European Regional Development Fund (ERDF),28.0,Journal of Bioethical Inquiry,6.0,Department of Communication,17.0,Sechaba Consultants,2.0,Ilze Kalnina,10
Eunice Kennedy Shriver National Institute for Child Health and Human Development,28.0,"Project PsyTool ""Sport Psychology as a Strategic Tool for Prevention and training on Grassroots Sports",6.0,University of Wisconsin-Milwaukee,17.0,Fondazione Cassa dei Risparmi di Forli,2.0,Robert Sampson,10
US Department of Education,28.0,LICSW,6.0,Harvard University Center for AIDS Research,17.0,KVC Kansas,2.0,Dora Costa,10
Health Resources and Services Administration,27.0,Ethox Centre,6.0,Vanier Canada Graduate Scholarship,17.0,"Hologic, Inc.",2.0,Ruth Greenblatt,10
"Children's Bureau, Administration on Children, Youth and Families, Administration for Children and Families",27.0,Third Sector Impact,6.0,Pontificia Universidad Catolica de Chile,17.0,Stichting Schakelring,2.0,Tim Allen,10
Social Sciences and Humanities Research Council (SSHRC) of Canada,27.0,Chair Markets in Transition,6.0,Wayne State University,16.0,Truvada,2.0,Arland Thornton,10
National Center for Advancing Translational Sciences (NCATS),27.0,CLARA,6.0,State University of New York,16.0,Barclays Capital,2.0,Marianne,10
MINECO,27.0,SLC,6.0,Erasmus University,16.0,MacKillop Family Services,2.0,Elizabeth Golub,10
Ministry of Economy and Competitiveness,27.0,Program on Medicine and Religion,6.0,NBER Summer Institute,16.0,"American International Group, Inc",2.0,Eddie Dekel,10
National Science Council,27.0,Stevin Supercomputer Infrastructure,6.0,San Francisco,16.0,Philip Morris USA,2.0,Doug McAdam,10
National Institute of Child Health and Development,27.0,UNICEF,6.0,Rackham Graduate School,16.0,Bellberry Ltd,2.0,Jr.,10
Ontario HIV Treatment Network,27.0,10th World Congress of the Econometric Society,6.0,Faculty of Law,16.0,Health Utilities Inc.,2.0,Sara Goldrick-Rab,10
Conrad N. Hilton Foundation,27.0,GlobaldiverCities Project,6.0,CUHK,16.0,Connaught Fund,2.0,Liangjun Su,10
AHRC,26.0,Alberta Learning,6.0,University of Exeter,16.0,"Abt Associates, Inc",2.0,Kevin Sheppard,10
China Scholarship Council (CSC),26.0,Strong Communities for Children,6.0,University of Gothenburg,16.0,Korowai Aroha Trust,2.0,Alejandra Irigoin,10
European Union's Seventh Framework Programme (FP/2007-2013,26.0,Fragile Families,6.0,American Association of University Women,16.0,Gombe Hospital,2.0,Leah Boustan,10
Netherlands Organisation for Health Research and Development (ZonMw),26.0,AXA Research Fund,6.0,Department of Geography,16.0,EMC,2.0,Christoph Rothe,10
South African Medical Research Council,26.0,Brocher,6.0,Department of Political Science,16.0,Chaire Dauphine-ENSAE-Groupama,2.0,Bettina Klaus,10
Doris Duke Charitable Foundation,26.0,Responsible Research and Innovation in Practice (RRI-Practice),6.0,"University of California, San Francisco",16.0,Sisters Network Inc.,2.0,Ren Liu,10
Ministry of Education of China,26.0,ANR,6.0,Yale University School of Medicine,16.0,TATA Consulting Services,2.0,Ariel Rubinstein,10
European Science Foundation,26.0,German Family Panel pairfam,6.0,University of Central Florida,16.0,Connect Online,2.0,Vadim Marmer,10
National Science Centre,26.0,RECERCAIXA 2013,6.0,School of Social Sciences,16.0,Sanowork,2.0,Harvey James,10
Templeton Religion Trust,26.0,Violence Research Programme,6.0,University of New Mexico,16.0,"Avastin, Genentech",2.0,Piotr Skowron,10
Canadian Social Sciences and Humanities Research Council,26.0,COPE,6.0,Masaryk University,16.0,Europe Center,2.0,Rachel Ankeny,10
Institute of Education Sciences,25.0,Diasporas and Contested Sovereignty,6.0,Flinders University,16.0,DraftKings,2.0,Jan Dhaene,10
Australian Research Council's Linkage Projects,25.0,Caught in the Act of Protest: Contextualizing Contestation,6.0,University of Liverpool,15.0,Diametros,2.0,Maria Cancian,10
Government of Spain,25.0,Data Analytics and Models for insurance,6.0,New York State Psychiatric Institute,15.0,Diurnal Ltd,2.0,B. Kapogiannis,10
Carnegie Corporation of New York,25.0,Risk Analysis,6.0,Newcastle University,15.0,dunnhumby Limited,2.0,Arkadii Slinko,10
Swedish Foundation for Humanities and Social Sciences,25.0,JHPPL,6.0,Yonsei University,15.0,Iringa Zone Offices,2.0,Jean-Marc Robin,10
Australian Government Department of Social Services,25.0,National Youth in Transition Database,6.0,University of Bath,15.0,Volvo Monitoring and Concept Center,2.0,Mary Waters,10
Administration for Children and Families,25.0,EMBES 2010,6.0,Graduate Division,15.0,Waikiki Health,2.0,Grigore T. Popa,10
Strategic Research Council of the Academy of Finland,25.0,REDCap,6.0,Education University of Hong Kong,15.0,Ngatikahu ki Whangaroa,2.0,Bo Honore,10
