text,abbreviation,full
Australian Senior Human Resource Roundtable,ASHRR,Australian Senior Human Resource Roundtable (ASHRR)
Air Sea Interaction Regional Initiative,ASIRI,Air Sea Interaction Regional Initiative (ASIRI)
American Society for Legal History,ASLH,American Society for Legal History (ASLH)
Autonomous Systems and Operations Project,ASO,Autonomous Systems and Operations Project (ASO)
Arctic Science Partnership,ASP,Arctic Science Partnership (ASP)
International Arctic Science Partnership,ASP,Arctic Science Partnership (ASP)
American Society for the Prevention of Cruelty to Animals,ASPCA,American Society for the Prevention of Cruelty to Animals (ASPCA)
Advance Support Program for Integration of Research Excellence,ASPIRE,Advance Support Program for Integration of Research Excellence (ASPIRE)
Associazione per Supporto PsicoOncologico,ASPO,Associazione per Supporto PsicoOncologico (ASPO)
Association of Schools and Programs of Public Health,ASPPH,Association of Schools and Programs of Public Health (ASPPH)
Asian Real Estate Society,AsRES,Asian Real Estate Society (AsRES)
Adam Smith Research Foundation,ASRF,Adam Smith Research Foundation (ASRF)
AIDS and Society Research Unit,ASRU,AIDS and Society Research Unit (ASRU)
Annual Meeting of the Allied Social Science Associations,ASSA,Annual Meeting of the Allied Social Science Associations (ASSA)
USAID Applying Science to Strengthen and Improve Systems,ASSIST,USAID Applying Science to Strengthen and Improve Systems (ASSIST)
Agency for Science Technology and Research,ASTAR,Agency for Science Technology and Research (ASTAR)
Astrobiology Science and Technology for Exploring Planets,ASTEP,Astrobiology Science and Technology for Exploring Planets (ASTEP)
Associazione dei Tour Operator Italiani,ASTOI,Associazione dei Tour Operator Italiani (ASTOI)
American Trucking Association,ATA,American Trucking Association (ATA)
Agricultural Technology Adoption Initiative,ATAI,Agricultural Technology Adoption Initiative (ATAI)
Arctic Technology Evaluation,ATE,Arctic Technology Evaluation (ATE)
Advanced Swiss Technology Group,ATG,Advanced Swiss Technology Group (ATG)
Agricultural Trade and Market Access Cooperation,ATMAC,Agricultural Trade and Market Access Cooperation (ATMAC)
Australian Taxation Office,ATO,Australian Taxation Office (ATO)
Air Transport Research Society,ATRS,Air Transport Research Society (ATRS)
Asociacion Universitaria Iberoamericana de Postgrado,AUIP,Asociacion Universitaria Iberoamericana de Postgrado (AUIP)
Alberta Union of Provincial Employees,AUPE,Alberta Union of Provincial Employees (AUPE)
Australian Agency for International Development,AusAID,Australian Agency for International Development (AusAID)
Azienda Unit a Sanitaria Locale,AUSL,Azienda Unit a Sanitaria Locale (AUSL)
 AmirkabirUniversity of Technology,AUT, AmirkabirUniversity of Technology (AUT)
Austrian National Election Study,AUTNES,Austrian National Election Study (AUTNES)
Archiving Validation and Interpretation of Satellite Oceanographic Data,AVISO,Archiving Validation and Interpretation of Satellite Oceanographic Data (AVISO)
Advantage West Midlands,AWM,Advantage West Midlands (AWM)
Canadas Atlantic Zone oceanographic Monitoring Program,AZMP,Canadas Atlantic Zone oceanographic Monitoring Program (AZMP)
Atlantic Zone OffShelf Monitoring Program,AZOMP,Department of Fisheries and Oceans Atlantic Zone Off Shelf Monitoring Program (AZOMP)
Department of Fisheries and Oceans Atlantic Zone Off Shelf Monitoring Program,AZOMP,Department of Fisheries and Oceans Atlantic Zone Off Shelf Monitoring Program (AZOMP)
Bangladesh Atomic Energy Commission,BAEC,Bangladesh Atomic Energy Commission (BAEC)
Benelux Association of Energy Economics,BAEE,Benelux Association of Energy Economics (BAEE)
Belgian American Educational Foundation,BAEF,Belgian American Educational Foundation (BAEF)
British Academy of Management,BAM,British Academy of Management (BAM)
Bay Area Photovoltaics Consortium,BAPVC,Bay Area Photovoltaics Consortium (BAPVC)
Biosphere Atmosphere Research and Training Program,BART,Biosphere Atmosphere Research and Training Program (BART)
British Asian for South Asian Studies,BASAS,British Asian for South Asian Studies (BASAS)
Bottomup Climate Adaptation Strategies for a Sustainable Europe,BASE,Bottomup Climate Adaptation Strategies for a Sustainable Europe (BASE)
Big Brothers Big Sisters of America,BBBSA,Big Brothers Big Sisters of America (BBBSA)
Berlin Big Data Center,BBDC,Berlin Big Data Center (BBDC)
Bedford Basin Monitoring Program,BBMP,Bedford Basin Monitoring Program (BBMP)
Biobanking and Biomolecular Resources Research Infrastructure,BBMRI,Biobanking and Biomolecular Resources Research Infrastructure (BBMRI)
Bermuda Biodiversity Project,BBP,Bermuda Biodiversity Project (BBP)
Border Biological Research Center,BBRC,Border Biological Research Center (BBRC)
Banco Bilbao Vizcaya Argentaria,BBVA,Banco Bilbao Vizcaya Argentaria (BBVA)
Building and Construction Authority of Singapore,BCA,Building and Construction Authority of Singapore (BCA)
Basque Center for Applied Mathematics,BCAM,Basque Center for Applied Mathematics (BCAM)
Banco Central do Brasil,BCB,Banco Central do Brasil (BCB)
Bangladesh Climate Change Adaptation Survey,BCCAS,Bangladesh Climate Change Adaptation Survey (BCCAS)
British Columbia Centre for Disease Control,BCCDC,British Columbia Centre for Disease Control (BCCDC)
Berlin Centre for Consumer Policies,BCCP,Berlin Centre for Consumer Policies (BCCP)
Boulder Creek Critical Zone Observatory,BCCZO,Boulder Creek Critical Zone Observatory (BCCZO)
Bankwest Curtin Economics Centre,BCEC,Bankwest Curtin Economics Centre (BCEC)
Breast Cancer Network Australia,BCNA,Breast Cancer Network Australia (BCNA)
British Columbia Oil and Gas Commission,BCOGC,British Columbia Oil and Gas Commission (BCOGC)
Bangladesh Council of Scientific and Industrial Research,BCSIR,Bangladesh Council of Scientific and Industrial Research (BCSIR)
Bridge to Doctorate,BD,Bridge to Doctorate (BD)
Big Data for Discovery Science,BDDS,Big Data for Discovery Science (BDDS)
Belgian Day for Labour Economists,BDLE,Belgian Day for Labour Economists (BDLE)
Berlin Doctoral Program in Economics and Management Science,BDPEMS,Berlin Doctoral Program in Economics and Management Science (BDPEMS)
Biodiversity Secretariat,BDS,Biodiversity Secretariat (BDS)
Biosciences Environment and Agriculture Alliance,BEAA,Biosciences Environment and Agriculture Alliance (BEAA)
Berkeley Education Alliance for Research in Singapore,BEARS,Berkeley Education Alliance for Research in Singapore (BEARS)
Barcelona Expert Center,BEC,Barcelona Expert Center (BEC)
Balkan Epidemiological Study of Child Abuse and Neglect,BECAN,Balkan Epidemiological Study of Child Abuse and Neglect (BECAN)
Biodiversity and Ecosystem Services in a Changing Climate,BECC,Biodiversity and Ecosystem Services in a Changing Climate (BECC)
Biodiversity Ecosystems and Climate Change Program,BECC,Biodiversity and Ecosystem Services in a Changing Climate (BECC)
Texas Bureau of Economic Geology,BEG,Texas Bureau of Economic Geology (BEG)
Bangladesh Environmental Lawyers Association,BELA,Bangladesh Environmental Lawyers Association (BELA)
Belgian Science Policy,BELSPO,Belgian Federal Science Policy Office (BELSPO)
Belgian Federal Science Policy Office,BELSPO,Belgian Federal Science Policy Office (BELSPO)
Belgian Science Policy Office,BELSPO,Belgian Federal Science Policy Office (BELSPO)
Berlin Network of Labor Market Economists,BeNA,Berlin Network of Labour Market Research (BeNA)
Berlin Network of Labour Market Research,BeNA,Berlin Network of Labour Market Research (BeNA)
Bolsa Estagio de Pesquisa no Exterior,BEPE,Bolsa Estagio de Pesquisa no Exterior (BEPE)
Office of Biological and Environmental Research,BER,US Department of Energy Office of Science Biological and Environmental Research (BER)
Office of Science,BER,US Department of Energy Office of Science Biological and Environmental Research (BER)
US Department of Energy Biological and Environmental Research,BER,US Department of Energy Office of Science Biological and Environmental Research (BER)
Department of Energys Office for Science,BER,US Department of Energy Office of Science Biological and Environmental Research (BER)
Office of Science Office of Biological and Environmental Research,BER,US Department of Energy Office of Science Biological and Environmental Research (BER)
US Department of Energy Office of Science Biological and Environmental Research,BER,US Department of Energy Office of Science Biological and Environmental Research (BER)
 Biological and Environmental Research,BER,US Department of Energy Office of Science Biological and Environmental Research (BER)
US Department of Energy Office of Science Basic Energy Sciences,BES,US Department of Energy Office of Science Basic Energy Sciences (BES)
Office of Science Basic Energy Sciences,BES,US Department of Energy Office of Science Basic Energy Sciences (BES)
NERC Biodiversity  Ecosystem Service Sustainability,BESS,Biodiversity Ecosystem Services and Sustainability (BESS)
Biodiversity Ecosystem Services and Sustainability,BESS,Biodiversity Ecosystem Services and Sustainability (BESS)
Business Environment Strengthening for Tanzania,BEST,Business Environment Strengthening for Tanzania (BEST)
Bureau for Food and Agricultural Policy,BFAP,Bureau for Food and Agricultural Policy (BFAP)
Philippines Bureau of Fisheries and Aquatic Resources,BFAR,Philippines Bureau of Fisheries and Aquatic Resources (BFAR)
Bernstein Focus Neurotechnology,BFNT,Bernstein Focus Neurotechnology (BFNT)
Bucknell Geisinger Research Initiative,BGRI,Bucknell Geisinger Research Initiative (BGRI)
Director British Geological Survey,BGS,British Geological Survey (BGS)
British Geological Survey,BGS,British Geological Survey (BGS)
British Heart Foundation,BHF,British Heart Foundation (BHF)
Behavioral Health Learning Community,BHLC,Behavioral Health Learning Community (BHLC)
British Household Panel Survey,BHPS,British Household Panel Survey (BHPS)
Behavioral Health Workforce Education and Training,BHWET,Behavioral Health Workforce Education and Training (BHWET)
Bureau of Indian Affairs,BIA,Bureau of Indian Affairs (BIA)
Biobased Industry Center,BIC,Biobased Industry Center (BIC)
British Institute in Eastern Africa,BIEA,British Institute in Eastern Africa (BIEA)
British Isles continuous GNSS Facility,BIGF,British Isles continuous GNSS Facility (BIGF)
Berlin Institute of Health,BIH,Berlin Institute of Health (BIH)
Biological Impacts of Ocean Acidification,BIOACID,Biological Impacts of Ocean Acidification (BIOACID)
German project Biological Impacts of Ocean ACIDification,BIOACID,Biological Impacts of Ocean Acidification (BIOACID)
Biosystems and Integrative Sciences Institute,BioISI,Biosystems and Integrative Sciences Institute (BioISI)
British Indian Ocean Territory,BIOT,British Indian Ocean Territory (BIOT)
Bribie Island Research Centre,BIRC,Bribie Island Research Centre (BIRC)
Building Interdisciplinary Research Careers in Womens Health,BIRCWH,Building Interdisciplinary Research Careers in Womens Health (BIRCWH)
Catherine BurnetteBuilding Interdisciplinary Research Careers in Womens Health,BIRCWH,Building Interdisciplinary Research Careers in Womens Health (BIRCWH)
Biomedical Informatics Research Network,BIRN,Biomedical Informatics Research Network (BIRN)
Bank for International Settlements,BIS,Bank for International Settlements (BIS)
Busan Institute of ST Evaluation and Planning,BISTEP,Busan Institute of ST Evaluation and Planning (BISTEP)
CIOB Bowen Jenkins Legacy,BJL,Bowen Jenkins Legacy (BJL)
Bowen Jenkins Legacy,BJL,Bowen Jenkins Legacy (BJL)
Beijing Natural Science Foundation,BJNSF,Beijing Natural Science Foundation (BJNSF)
Federal Agency for Cartography and Geodesy in Germany,BKG,Federal Agency for Cartography and Geodesy in Germany (BKG)
